#,#,#,#,#,#,#,#
繁花,金宇澄 , 上海文艺出版社 , 2013-3-1 ,8.8,"
        (9985人评价)
    ",这是一部地域小说，人物的行走，可找到“有形”地图的对应。这也是一部记忆小说，六十年代的少年旧梦，辐射广泛，处处人间烟火的斑斓记忆，九十年代的声色犬马，是一场... 
北鸢,葛亮 , 人民文学出版社 , 2016-10-1 ,8.0,"
        (6162人评价)
    ",《北鸢》起笔于民国商贾世家子弟卢文笙的成长，收束于上世纪中叶。将波诡云谲的民国动荡史寄予两个家族的命运沉浮，书写中国最为丰盛起伏的断代。人生一线，恰似风筝。... 
动物农场,[英] 乔治·奥威尔 / 荣如德 , 上海译文出版社 , 2007-3 ,9.2,"
        (33447人评价)
    ","《动物农场》是奥威尔最优秀的作品之一，是一则入木三分的反乌托的政治讽喻寓言。
农场的一群动物成功地进行了一场“革命”，将压榨他们的人类东家赶出农场，建立起一... "
毒木圣经,[美] 芭芭拉·金索沃 / 张竝 / 新经典文化,南海出版公司 , 2017-3 ,8.7,"
        (1156人评价)
    ","豆瓣2017年度读书榜单·外国文学（小说类） 第1名！
★《百年孤独》之后，你为这样一部小说等了多久？
★既是饱满细腻的家庭史诗，又是磅礴锐利的历史寓言。发... "
吃鲷鱼让我打嗝,[美] 杰西·艾森伯格 / 吴文忠 , 人民文学出版社 , 2017-4 ,8.0,"
        (1640人评价)
    ","演员×剧作家×小说家、导演×制片×编剧
杰西•艾森伯格
首部短篇小说集、同名美剧拍摄中
《吃鲷鱼让我打嗝》是杰西•艾森伯格创作的首部短篇小说集。全书以“吃鲷... "
贝伦与露西恩,[英] J.R.R. 托尔金 著、[英] 克里斯托弗·托尔金 编、[英] 艾伦·李 图 / 石中歌、杜蕴慈、邓嘉宛 / 世纪文景,上海人民出版社 , 2017-6 ,9.4,"
        (201人评价)
    ","《霍比特人》《魔戒》作者毕生所寄 世间最美的爱情诗篇
1917“一战”索姆河战场归来J.R.R.托尔金潜心动笔创世中洲
2017 克里斯托弗·托尔金以父母爱... "
一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼 / 宁蒙 , 四川文艺出版社 , 2015-12 ,9.1,"
        (9450人评价)
    ",看哭全北欧的瑞典票房冠军电影同名原著小说，韩国治愈系男神池昌旭温情推荐，直言本书令人感到幸福，热销瑞典，席卷欧洲，2016年，这个屌炸天的瑞典老头更是征服了... 
#,#,#,#,#,#,#,#
我脑袋里的怪东西,[土耳其] 奥尔罕·帕慕克 / 陈竹冰 , 上海人民出版社 , 2016-2 ,8.6,"
        (2424人评价)
    ","◆ 诺贝尔文学奖得主、《我的名字叫红》《伊斯坦布尔》作者奥尔罕•帕慕克 蛰伏六年动情写就 全球60个语种正在流行。
◆斩获诺奖之后还能写出自己的最佳作品，帕... "
悉达多,[德] 赫尔曼·黑塞 / 杨玉功 译、丁君君 校 , 上海人民出版社 , 2009-3 ,9.0,"
        (13245人评价)
    ",古印度贵族青年悉达多英俊聪慧，拥有人们羡慕的一切。为了追求心灵的安宁，他孤身一人展开了求道之旅。他在舍卫城聆听佛陀乔答摩宣讲教义，在繁华的大城中结识了名妓伽... 
无声告白,[美] 伍绮诗 / 孙璐 , 江苏凤凰文艺出版社 , 2015-7 ,8.2,"
        (47167人评价)
    ","我们终此一生，就是要摆脱他人的期待，找到真正的自己。
——————————
莉迪亚死了，可他们还不知道。
莉迪亚是家中老二，李先生和李太太的掌上明珠，她遗传... "
黄金时代,王小波 , 花城出版社 , 1999-3 ,8.8,"
        (59778人评价)
    ",《黄金时代》是《时代三部曲》之一。  这是以文革时期为背景的系列作品构成的长篇。发生“文化大革命”的二十世纪六七十年代，正是我们国家和民族的灾难年代。那时，... 
肖申克的救赎,[美] 斯蒂芬·金 / 施寄青、赵永芬、齐若兰 , 人民文学出版社 , 2006-7 ,9.1,"
        (39427人评价)
    ",这本书收入斯蒂芬·金的四部中篇小说，是他作品中的杰出代表作。其英文版一经推出，即登上《纽约时报》畅销书排行榜的冠军之位，当年在美国狂销二十八万册。目前，这本... 
台北人,白先勇 , 广西师范大学出版社 , 2010-10 ,8.9,"
        (13962人评价)
    ",作为20世纪中文小说100强的《台北人》，是一部深具复杂性的短篇小说集，由十四个一流的短篇小说构成，串联成一体，则效果遽然增加，不但小说之幅面变广，使我们看... 
飘,[美国] 玛格丽特·米切尔 / 李美华 , 译林出版社 , 2000-9 ,9.3,"
        (80333人评价)
    ",小说中的故事发生在1861年美国南北战争前夕。生活在南方的少女郝思嘉从小深受南方文化传统的熏陶，可在她的血液里却流淌着野性的叛逆因素。随着战火的蔓廷和生活环... 
牧羊少年奇幻之旅,[巴西]保罗·柯艾略 / 丁文林 , 南海出版公司 , 2009-3-1 ,8.6,"
        (55815人评价)
    ",牧羊少年圣地亚哥接连两次做了同一个梦，梦见埃及金字塔附近藏有一批宝藏。少年卖掉羊群，历尽千辛万苦一路向南，跨海来到非洲，穿越“死亡之海”撒哈拉大沙漠……期间... 
岛上书店,[美] 加·泽文 / 孙仲旭、李玉瑶 , 江苏凤凰文艺出版社 , 2015-5 ,7.6,"
        (76212人评价)
    ",岛上书店是间维多利亚风格的小屋，门廊上挂着褪色的招牌，上面写着： 没有谁是一座孤岛，每本书都是一个世界 A．J．费克里，人近中年，在一座与世隔绝的小岛上，经... 
幽灵,[挪] 尤·奈斯博 / 林立仁 , 湖南文艺出版社 , 2017-6-10 ,8.7,"
        (1447人评价)
    ","▶ 两个孤独少年 × 一位孤勇警探，如父如子的亲情，失而复得的挚爱，触不可及的未来
▶全球销量突破3300万册，北欧悬疑小说天王尤•奈斯博《猎豹》之后再创销... "
树上的男爵,(意)卡尔维诺 / 吴正仪 , 译林出版社 , 2012-4-1 ,9.1,"
        (10986人评价)
    ","在大陆，王小波、苏童、阿城、止庵是他的忠实粉丝
在台湾，朱天文，唐诺是卡尔维诺不余遗力的传播者
在香港，梁文道说他一直在准备谈卡尔维诺，可是一直没准备好
权... "
美丽新世界,[英] 阿道司·赫胥黎 / 王波 , 重庆出版社 , 2005-6 ,8.6,"
        (11177人评价)
    ","《美丽新世界》是二十世纪最经典的反乌托邦文学之一。这部作品与乔治·奥威尔的《1984》、扎米亚京的《我们》并称为“反乌托邦”三书，在国内外思想界影响深远。
... "
步履不停,[日] 是枝裕和 / 郑有杰 , 北京联合出版公司 , 2017-5 ,8.7,"
        (5102人评价)
    ","★电影大师是枝裕和亲自撰写，经典代表作原著小说
★拿遍各大国际影展重要奖项，全球影迷热泪推荐！
★绝无冷场的故事，比电影更幽微的人性暗涌；一茶一饭的淡香，触... "
悟空传,今何在 , 光明日报出版社 , 2001-4 ,8.4,"
        (61773人评价)
    ",猪八戒和孙悟空虽然都神通广大，但在命运面前终究是软弱无力的小人物。顶天立地的美猴王实际上仍然是那个充满惊恐的小猴子，而决心与命运抗争的天逢若非紧急也终究不肯... 
灿烂千阳,[美] 卡勒德·胡赛尼 / 李继宏 , 上海人民出版社 , 2007-9 ,8.8,"
        (54548人评价)
    ",私生女玛丽雅姆在父亲的宅院门口苦苦守候，回到家却看到因绝望而上吊自杀的母亲。那天是她十五岁的生日，而童年嘎然而止。玛丽雅姆随后由父亲安排远嫁喀布尔四十多岁的... 
倾城之恋,张爱玲 , 花城出版社 , 1997-3-1 ,8.5,"
        (89567人评价)
    ",一对现实庸俗的男女，在战争的兵荒马乱之中被命运掷骰子般地掷到了一起，于“一刹那”体会到了“一对平凡的夫妻”之间的“一点真心”⋯⋯张爱玲是作为中国现代文学史上... 
不属于我们的世纪,[美] 马修·托马斯 / 黄瑶 , 广西科学技术出版社 , 2016-9-1 ,8.3,"
        (1603人评价)
    ",艾琳·图穆蒂自小跟随她的爱尔兰移民父母生活在皇后区伍德赛德的一间公寓里。长期的艰困生活，让她一心想要彻底摆脱这个弥漫着喧闹和心酸的地方，去创造属于自己的一切... 
博尔赫斯小说集,[阿根廷] 博尔赫斯 / 王永年、陈泉 , 浙江文艺出版社 , 2005-12 ,9.2,"
        (7778人评价)
    ",收录小说五十九篇，分别见诸博尔赫斯的六个小说集，即《恶棍列传》（1935）、《虚构集》（1944）、《阿莱夫》（1949）、《布罗迪报告》（1970）、《沙... 
