#,#,#,#,#,#,#,#
大历史,[美] 大卫·克里斯蒂安（David Christian）、辛西娅·斯托克斯·布朗 (Cynthia Stokes Brown)、克雷格·本杰明 (Craig Benjamin) / 刘耀辉 , 北京联合出版公司·后浪出版公司 , 2016-8-1 ,8.6,"
        (273人评价)
    ",比尔盖茨被本书作者大卫·克里斯蒂安的大历史观念震撼，斥资一千万美元精心打造的在线大历史教学项目→https://school.bighistoryproje... 
时间的形状,汪洁 , 新星出版社 , 2012-1-15 ,8.6,"
        (2970人评价)
    ","我可以保证，这真是一本很有趣的书。跟随作者，你可以进入爱因斯坦的梦境，坐在牛顿老师的课堂，来到星光实验的现场……最近距离接触科学的真相。
本书上部（前五章）... "
那些古怪又让人忧心的问题,兰道尔·门罗 / 朱君玺 , 北京联合出版公司 , 2015-5 ,8.1,"
        (2999人评价)
    ","「未读•探索家」重磅推出，2015年最有趣的书!
再荒诞的问题都可能有一个科学答案！
牛排从多高的地方掉下来正好能烤熟？
哭多了会脱水吗？
如果把一辈子亲吻... "
醉酒的植物学家,[美] 艾米·斯图尔特 / 刘夙 , 商务印书馆 , 2017-1 ,8.7,"
        (170人评价)
    ","这本书是一篇在植物学与酒的婚礼之上朗诵的充满激情的祝酒词——
清酒始于米粒，苏格兰威士忌源于大麦，特基拉来自龙舌兰，朗姆酒酿自甘蔗，而波本酒出自玉米。你已经... "
杂食者的两难,[美] 迈克尔·波伦 / 邓子衿 , 中信出版集团 , 2017-7 ,8.5,"
        (145人评价)
    ",自从人类开始围坐在一起共同进餐，饮食之道就与文化而不仅仅是生理需求，结下了不解之缘，人类透过饮食，将自然转化为文化。数百万年来，人类已经整合汇编了明智的饮食... 
品尝的科学,[美] 约翰·麦奎德（John McQuaid） / 林东翰、张琼懿、甘锡安 , 北京联合出版公司 , 2017-5 ,7.9,"
        (225人评价)
    ","对于“品尝”，你只懂得一半；另一半，就在这本书中。
畅销书《谷物大脑》作者戴维·珀尔玛特、《厨房里的人类学家》作者庄祖宜、《Yilan美食生活玩家》创办人叶... "
信息简史,[美] 詹姆斯·格雷克 / 高博 , 人民邮电出版社 , 2013-10 ,8.8,"
        (1761人评价)
    ",人类与信息遭遇的历史由来已久。詹姆斯•格雷克笔下的这段历史出人意料地从非洲的鼓语讲起（第1章）。非洲土著部落在尚未直接跨越到移动电话之前，曾用鼓声来传递讯息... 
看不见的森林,[美] 戴维•乔治•哈斯凯尔 / 熊姣 , 商务印书馆 , 2014-1 ,9.1,"
        (713人评价)
    ",这是一本森林观测笔记。 在这本书里，一位生物学家以一年的时间为主线，在每次的观测中，为我们揭开藏森林一平方米地域里的秘密。 在这本完全原创的书里，生物学家戴... 
迷人的材料,马克·米奥多尼克 / 赖盈满 , 北京联合出版公司 , 2015-9 ,8.3,"
        (1635人评价)
    ",从茶杯、喷气发动机到家用电器、内裤，我们的生活充满了材料。但你想过没有，为什么玻璃是透明的？是什么让橡皮筋有弹性？为什么曲别针会弯曲？为什么不锈钢不生锈？水... 
所罗门王的指环,(奥)劳伦兹 / 游复熙、秀光容 , 中国和平出版社 , 1998-07-01 ,9.2,"
        (1404人评价)
    ",为什么书名叫《所罗门王的指环》呢？劳伦兹说明：“根据史料记载，所罗门王能够和鸟兽虫鱼交谈。这事我也会，虽然我比不上所罗门王，能够和所有的动物交谈，而只能和几... 
